number,date,height_1,height_2,height_3,width_1,width_2,width_3,temp,humidity,layer_count,slicer_layer_height,slicer_layer_width,slicer_nozzle_speed,slicer_extrusion_multiplier,nozzle_diameter
1,05.05.2025,"2,06","1,8","1,9","5,56","5,45","5,58","19,5",56,1,"0,8","1,5",3,1,2
2,05.05.2025,"2,23","1,95","2,09","5,54","5,54","5,24","19,5",56,1,"0,8","1,5",5,1,2
3,05.05.2025,"1,87","2,06","1,65","3,85","4,18","4,13","19,5",56,1,"0,8","1,5",10,1,2
4,05.05.2025,"1,93","1,89","1,85","3,74","3,32","4,35","19,5",56,1,"0,8","1,5",15,1,2
5,05.05.2025,"1,9","1,88","1,95","4,25","4,43","4,25","19,5",56,1,"0,8","1,5",20,1,2
6,05.05.2025,"1,8","1,97","1,91","4,27","4,25","4,02","19,5",56,1,"0,8","1,5",22,1,2
7,05.05.2025,"1,72","1,81","1,82","3,87","3,88","3,76","19,5",56,1,"0,8","1,5",25,1,2
8,05.05.2025,"1,83","1,76","1,62","3,65","3,78","3,67","19,5",56,1,"0,8","1,5",30,1,2
9,05.05.2025,"1,8","1,82","1,93","5,12","4,44","4,53","19,5",56,1,"0,8","1,5",3,"0,7",2
10,05.05.2025,"1,85","1,75","1,75","4,75","4,77","5,21","19,5",56,1,"0,8","1,5",5,"0,7",2
11,05.05.2025,"1,78","1,81","1,68","3,07","3,27","3,06","19,5",56,1,"0,8","1,5",10,"0,7",2
12,05.05.2025,"1,6","1,72","1,84","2,95","2,94","3,17","19,5",56,1,"0,8","1,5",15,"0,7",2
13,05.05.2025,"1,96","1,87","1,88","2,79","3,05","3,12","19,5",56,1,"0,8","1,5",20,"0,7",2
14,05.05.2025,"2,07","1,78","1,7",3,"3,15","3,05","19,5",56,1,"0,8","1,5",22,"0,7",2
15,05.05.2025,"1,64","1,82","1,81","2,98","3,26","3,7","19,5",56,1,"0,8","1,5",25,"0,7",2
16,05.05.2025,"1,82","1,79","1,63","3,23","4,12","3,55","19,5",56,1,"0,8","1,5",30,"0,7",2
17,05.05.2025,"2,27","2,19","2,36","7,68","6,93","6,68","19,5",56,1,"0,8","1,5",3,"1,3",2
18,05.05.2025,"2,42","2,57","2,64","6,83","6,86",7,"19,5",56,1,"0,8","1,5",5,"1,3",2
19,05.05.2025,"2,11","1,97","2,11","4,66","4,86","5,05","19,5",56,1,"0,8","1,5",10,"1,3",2
20,05.05.2025,"1,86","1,87","1,97","4,34","4,61","5,06","19,5",56,1,"0,8","1,5",15,"1,3",2
21,05.05.2025,"1,88","1,96","2,11","4,87","5,48","5,36","19,5",56,1,"0,8","1,5",20,"1,3",2
22,05.05.2025,"1,96","2,18","2,2","5,89","5,92","5,94","19,5",56,1,"0,8","1,5",22,"1,3",2
23,05.05.2025,"1,82","2,08","2,06","5,4","5,44","5,7","19,5",56,1,"0,8","1,5",25,"1,3",2
24,05.05.2025,"1,55","1,82","1,64","5,08","5,38","5,47","19,5",56,1,"0,8","1,5",30,"1,3",2
25,05.05.2025,"2,73","2,93","2,65","8,04","7,35","6,88","19,3",55,2,"0,8","1,5",3,1,2
26,05.05.2025,"3,07","3,02","3,02","7,32","7,46","6,77","19,3",55,2,"0,8","1,5",5,1,2
